               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.05296,            0.014998,            0.010477,             0.58304,             0.51285,             0.52341,             0.23797,            0.051881,           0.0095732,           0.0090785,             0.00769,             0.00769,             0.00769
                  37,             0.05269,             0.01499,            0.010361,             0.58534,             0.51319,             0.52519,             0.23843,             0.05185,           0.0095671,           0.0090727,            0.007624,            0.007624,            0.007624
                  38,            0.052822,            0.015009,            0.010242,             0.58414,             0.51427,              0.5263,             0.23917,            0.051822,            0.009559,           0.0090661,            0.007558,            0.007558,            0.007558
                  39,            0.052564,            0.015031,            0.010287,             0.58238,              0.5166,             0.52622,             0.23971,            0.051784,           0.0095551,           0.0090686,            0.007492,            0.007492,            0.007492
                  40,            0.052641,            0.015043,            0.010246,             0.58231,             0.51897,             0.52824,             0.24026,            0.051748,           0.0095531,           0.0090668,            0.007426,            0.007426,            0.007426
                  41,            0.052494,            0.015015,           0.0098144,             0.58193,             0.51949,             0.52919,             0.24084,            0.051713,           0.0095489,             0.00907,             0.00736,             0.00736,             0.00736
                  42,             0.05203,            0.014982,           0.0098195,             0.58347,             0.52009,             0.53002,             0.24095,            0.051688,           0.0095446,           0.0090777,            0.007294,            0.007294,            0.007294
                  43,            0.052263,            0.015118,           0.0099497,              0.5801,             0.52401,             0.53105,             0.24165,            0.051652,           0.0095409,            0.009084,            0.007228,            0.007228,            0.007228
                  44,            0.051945,            0.014819,           0.0099396,             0.58091,             0.52419,             0.53191,             0.24215,            0.051622,           0.0095378,           0.0090849,            0.007162,            0.007162,            0.007162
                  45,            0.052103,            0.014869,           0.0096369,             0.58379,             0.52238,             0.53362,             0.24246,            0.051594,           0.0095355,           0.0090835,            0.007096,            0.007096,            0.007096
                  46,            0.052152,             0.01492,           0.0097164,             0.58417,             0.52364,             0.53373,             0.24289,            0.051568,           0.0095308,           0.0090849,             0.00703,             0.00703,             0.00703
                  47,             0.05186,            0.014861,           0.0097261,             0.58504,             0.52258,              0.5338,             0.24301,            0.051545,           0.0095274,           0.0090846,            0.006964,            0.006964,            0.006964
                  48,            0.051964,            0.014921,           0.0097753,             0.58278,             0.52615,             0.53398,             0.24343,            0.051524,           0.0095242,           0.0090808,            0.006898,            0.006898,            0.006898
                  49,             0.05189,            0.014863,           0.0094852,             0.58325,             0.52504,             0.53554,             0.24372,             0.05151,           0.0095219,           0.0090792,            0.006832,            0.006832,            0.006832
                  50,             0.05135,            0.014986,           0.0093688,             0.58444,              0.5251,             0.53525,             0.24411,            0.051491,           0.0095193,           0.0090776,            0.006766,            0.006766,            0.006766
                  51,            0.051497,            0.014922,           0.0093971,             0.58609,             0.52557,             0.53485,             0.24428,            0.051466,           0.0095161,           0.0090667,              0.0067,              0.0067,              0.0067
                  52,            0.051433,            0.014932,           0.0094269,             0.58686,              0.5251,             0.53624,             0.24495,            0.051438,           0.0095125,           0.0090676,            0.006634,            0.006634,            0.006634
                  53,            0.051363,            0.014745,           0.0093169,             0.59316,             0.52272,             0.53745,             0.24534,            0.051419,           0.0095093,           0.0090717,            0.006568,            0.006568,            0.006568
                  54,            0.051066,            0.014872,           0.0091606,             0.59364,             0.52284,             0.53836,             0.24561,            0.051399,           0.0095064,           0.0090786,            0.006502,            0.006502,            0.006502
                  55,            0.051382,            0.014734,             0.00924,             0.59288,             0.52367,             0.53785,             0.24583,            0.051378,           0.0095023,           0.0090861,            0.006436,            0.006436,            0.006436
